title	views	category
Eagles_80s_Books_pot	451	4354
InannaQueenOfHeaven	9758	16683
JJJupiter33	29126	120
lilgoattt	6403	2477
ETSModTeam	770	0
TeabagginGunslinger	23	4155
Fozillamiremox	28	2769
TaylorSwyft	43	20014
dialingwave	6847	1187
DannyTrejoChestTatoo	94	13032
domlaface	1	7212
MaximumEffort433	3166	245520
Thongsongmumu	51502	1423
burgoin	6	5326
NylonStark	1	0
Light_Blu	84	2164
choclatequake	44	284
gill__gill	19738	8161
sycknyss2	31024	2071
Cameron_Sosa	29261	52447
WriteAndStarve	1	726
Lindvaettr	1	6215
Patralex	2950	1398
LonelyPleasantHart	221	15463
hateplow0331	10	1180
SasquatchUFO	428	15812
Privateaccount84	769	5176
MagicCoq	9840	4193
spam_watcher	1	0
CTR_Regional_Manager	4732	12423
planemaster	9376	60
TheSentinelBot	12	5
thoawaydatrash	5713	50469
NinjaFartPants	294	2676
SarcasticNut	493	1791
drwaterbuffalo	1	5052
humannomaly	1	627
lllArkhamKnight	2012	2050
swoleder	6270	7364
TheCaIifornian	6738	482
Hibbieluv	57	5325
Danger_Zebra	147	15631
AMDownvote	2607	7730
l0lliepop	7237	454
Scorpio83G	54	8410
ferngu11y	32	36
TheSentinel_0	1	0
TheSentinel_1	1	0
GentlyOnFire	29	1132
SmellOfKokain	1592	12925
acosmisty	6584	1491
BotBust	10	1
Chriskinda96	9154	2995
xPokeyyy	34765	10252
techwolfe	22	3410
drleeisinsurgery	1	6832
MrTempestilence	29691	19738
Co60	4	2798
Supreme0verl0rd	1001	19411
flattacos	7079	400
Cslewisster1980	9479	6957
juneau2721	2	531
nolivesmatterCthulhu	3	24633
lambocinnialfredo	5	5369
MelodicMuppet	4787	1885
dupokey	6242	888
Exanero	8919	174
Kull_of_Atlantis	12678	4877
HikeTheSky	454	4606
youcallthatform	701	10390
tst3c	471	24762
GuiYaz	126	1660
GamingCoyote	8010	1737
jewelsandpens	1	2051
joeyjoeyjojo_joe	6266	575
The_Real_JT	12516	4654
tyquig	164	4126
sunshinebear995	479	2659
usernameslreadytaken	9602	2079
boiler725	95	256
G33C33	87	3706
jbentzing18	15163	9810
insomniacaholic	1	2665
IBleddit	1	4217
bunsupnkneelin	1	3967
btk113089	49	1491
AlastarHickey	634	8406
Disco__Gravy	4	3013
adriane209	9	6863
j0324ch	8	8539
BlizzLeaf	6113	7293
0xFEE	2	372
Glustick907	135	3575
LifesMellow	1	0
dudewiththelonghair	23310	15740
makemeurfrnz	21	3013
KarmaliteNone	5	21732
stjernDale	299	1723
Inactivated	8	103816
AmericaGreat	1	32945
iNeverQuiteWas	102267	24777
Puppeygoogoo	4	1737
UnpopularCrayon	1	6792
HuskyPupper	660	44802
diffcalculus	192	16883
NIFL_	8973	1455
NatureIsFuckingLit	166882	15618
BaneofExistance64	21	6741
ParadiseProd	20974	17616
OveraHype	127407	25214
That_Guuuuuuuy	3200	2899
Exdiv	3	13303
barongsay	17	3571
temporaryuser659070	19	9840
stanhayward	3669	5
GRRMsGHOST	207	17472
OftenWrongAboutStuff	1	2052
tungwungfung	1989	9147
joeypeppo	59	1474
mphome	7077	12
Drokie	6543	376
Sumtinkwrung	2009	5019
grizzzzly_94	47521	108676
OW_Mod	6071	7
SmartestIdiotAlive	37	181695
TwelveTendies	65523	12547
HerbziKal	2	5461
marvelers	1174	5112
KINK_TeC	1	15
RyanMcCartney	226	30149
Bartdooster	227	4764
Rays_of_Sun69	79	4593
sataniclizard	1	510
szpaceSZ	793	14578
_Wartoaster_	6375	45618
NYLaw	7448	16760
Luthien_Tinuviel_	209	777
platypus847	3	1336
godrestsinreason	30	13233
JanMichaelVincent69	4	1390
kingbane2	80	32026
life_b4_death	20	1544
Grown_Man_Poops	572456	38658
charging_bull	85743	220014
justkeeplaughing	691	106703
KakeKreator	10545	7938
A_wicked_tale	5427	11244
SalemDidNothingWrong	2623	20574
divvyflax	1	122
Cocomorph	70	74506
ForceGryphon77	67	16071
ValWenis	11733	2750
i_pee_printer_ink	1330	37613
Syscrush	3	8180
_agent_perk	519	28465
tealpeacockfeather	2	1679
angryclouds1	706	103
ghiscari_	6209	108281
yellow_viper	54575	30844
LetsTalkBigfoot	5890	1925
whitedsepdivine	5518	28242
Catsmann	1	1409
navydoc8406	23	6508
roboticdemoncow	7	4628
DSkerlec	1	4659
Snippydoodle	18	2109
Ganjasauce	1	9078
Earthly_Delights_	460	888
PM_YOUR_BRA	457	22730
Buckingham_Greener	101	5002
imjustashadow	4863	38549
Justsomeguoy	58534	210
TotallyAwesome80s	147	7423
Exotic_Butters	6609	398
Road_Richness	2	1538
